45	Srovnání kostry člověka a zavěšené kostry lidoopa
46	Pět pozic sezení u stolu s vyznačeným úhlem krční páteře
47	Příčný břišní sval v pohledu zepředu a z boku
48	Žena spí v posteli
49	Piktogramy různých poloh při práci s notebookem — v sedu i vleže
50	Žena cvičí na podložce v poloze na čtyřech
51	Muž cvičí v poloze na boku s jednoručkami
52	Zkumavky s krví označené testosteron, estrogen a progesteron na laboratorním formuláři
53	Zadní strana stehen se zvýrazněnou dlouhou a krátkou hlavou biceps femoris a adductor magnus
54	Vývoj držení těla od novorozence po dospělého ve stoji a v předklonu
55	Schéma vzniku patní ostruhy na patní kosti a plantární fascii
56	Kostra chodidla se svaly a symbolem luku se šípem
57	Lýtko se zvýrazněným gastrocnemiem a Achillovou šlachou
58	Úpony hamstringů a gastrocnemia v oblasti kolena
59	Zadní strana stehen: biceps femoris, semitendinosus a semimembranosus
60	Pánev s vyznačenou křížovou kostí, sakrotuberózním vazem a sedacím hrbolem
61	Zádové svaly iliocostalis a longissimus
62	Zádový sval spinalis podél páteře
63	Sval semispinalis v oblasti šíje
64	Hluboký zádový sval multifidus podél bederní páteře
65	Krátké svaly rotatores podél hrudní páteře
66	Subokcipitální svaly pod lebkou: obliquus capitis superior a inferior, rectus capitis posterior major a minor
67	Spodina lebeční s úpony šíjových svalů
68	Povrchová přední linie vyznačená na postavě zepředu
69	Schéma povrchové zadní a přední linie vedle fotografie trupu muže z profilu
70	Chodidlo a bérec s vyznačenými natahovači prstů
71	Dvě anatomické kresby bérce a chodidla
72	Příčný řez bércem s vyznačenými svalovými kompartmenty
73	Quadriceps femoris a tibialis anterior na přední straně nohy
74	Iliotibiální trakt, rectus femoris a sartorius na stehně
75	Čtyři kresby kostry s vyznačenou linií tahu
76	Příčný řez bércem s vyznačenou boční linií
77	Běžící postava se zvýrazněnými bočními svaly trupu
78	Hrudní koš s vnějšími a vnitřními mezižeberními svaly a šikmými břišními svaly
79	Rhomboideus, splenius a serratus anterior v oblasti lopatky
80	Propojení rhomboideu a serratus anterior kolem lopatky
81	Diagonální spojení serratus anterior a šikmých břišních svalů
82	Sval fibularis brevis na vnější straně bérce
83	Vrstvy břišní stěny: rectus abdominis, zevní a vnitřní šikmý a příčný břišní sval
84	Srovnání kostry člověka a zavěšené kostry lidoopa
85	Svaly šíje a lopatky: levator scapulae, supraspinatus, infraspinatus, teres minor a rhomboideus
86	Předloktí se zvýrazněným svalem
87	Hluboké svaly bérce: tibialis posterior, flexor digitorum longus a flexor hallucis longus
88	Sval longus capitis mezi lebkou a krční páteří
89	Sagitální řez trupem s bránicí, solar plexus a svalem psoas
90	Hluboký krční sval longus colli
91	Hluboké struktury krku: hltanové svaly, štítná žláza a mediální šev
92	Hluboká přední linie vyznačená na postavě muže z profilu
93	Hlava s vyznačenou povrchovou zadní, povrchovou přední a hlubokou přední linií
94	Páteř s horním zadním a horním středním traktem hluboké přední linie
95	Podjazylkové svaly: omohyoid, sternohyoid a jazylka
96	Svaly digastricus a mylohyoid mezi čelistí a jazylkou
97	Hluboká přední linie po celém těle v pohledu z profilu
98	Černobílá fotografie muže vedle tensegritní sochy ve městě
99	Malovaný výjev antických učenců s dalekohledem pod hvězdnou oblohou
100	Model páteře postavený jako tensegritní konstrukce z tyček a lanek
101	Ilustrace buňky s vlákny cytoskeletu vybíhajícími do okolí
102	Tensegritní socha ze dvou zkřížených dřevěných prvků držených lanky
103	Tensegritní oblouk v krajině
104	Země z vesmíru s Měsícem v pozadí
105	Pohled zdola na tensegritní konstrukci proti obloze
106	Tři geodetické koule s rostoucí hustotou sítě
107	Muž drží model tensegritní konstrukce
108	Abstraktní síť propojených částic
109	Tensegritní ikosaedr z dřevěných tyček a lanek v lese
110	Anatomická postava s vyznačenými tahovými liniemi
111	Muž na pódiu drží model tensegritní konstrukce
112	Černobílá fotografie tensegritní konstrukce vedle schématu působících sil
113	Model lidského těla postavený jako tensegritní konstrukce
114	Tensegritní model paže z tyček a lanek
115	Model ze stavebnice s vyznačeným těžištěm, tíhou a tahem
116	Portrét staršího muže v obleku u stolu, vzadu tensegritní konstrukce
117	Koule z včelích plástů s včelami
118	Malovaný výjev dvou mužů u svítící koule
119	Graf logaritmické ceny bitcoinu od roku 2010 s regresní křivkou
120	Ilustrace hlavy z profilu, ze které roste rostlina, kolem rozpadlé cihly s nápisem OLD BELIEFS
121	Šedý dav kráčejících postav a jedna oranžová s rozsvícenou žárovkou nad hlavou
122	Postava u rozcestníku s cedulemi SEKTA, SVOBODA a NEZÁVISLOST
123	Drobná postava pod korunou ze světelných vláken
124	Postava se svítícím symbolem bitcoinu v hrudi
125	Nápis Za co bojuješ? — šedý zástup proti barevně běžícím lidem
126	Dvě dlaně: v jedné ikony spotřeby, ve druhé mince bitcoinu
127	Nápis PRIORITA = VÝSLEDEK — postava před rozbíhajícími se cestami
128	Postava přechází most ze šedého města do zelené krajiny
129	Hlava rozdělená na polovinu z ozubených kol a polovinu z kůže
130	Nápis Kritika nebo řešení? — ukazující prst proti dlani s klíčem
131	Bitcoin mezi průmyslovou krajinou s komíny a zelenou krajinou se stromem
132	Cedule RYCHLEJŠÍ LEVNĚJŠÍ VÍC a postava odcházející po cestě do mlhy
133	Ilustrace muže s jednoručkou v jedné ruce a mincí bitcoinu ve druhé
134	Svítící silueta lidského těla
135	Postava pod sítí světelných uzlů
136	Ruka sype zlatý písek z přesýpacích hodin
137	Pouštní krajina, postava před stánky s vlajkami měn
138	Záda ženy zezadu s viditelnými lopatkami
139	Mince bitcoinu na sloupcích mincí s rostoucím grafem
140	Kreslená kostra se šipkou znázorňující sklopení pánve dopředu
141	Žena stojící bokem proti žlutému pozadí, hodnocení držení těla
142	Ruce v rozlomených okovech nad mincí bitcoinu
143	Dívka v parku se rozmachuje k hodu míčkem
144	Dav na demonstraci s transparentem Stand with Ukraine
145	Žena u notebooku si drží ztuhlou šíji
146	Srovnání neutrálního postavení pánve a předklopené pánve
147	Muž pracuje u stolu v obývacím pokoji
148	Postava pod panelem červeného světla v setmělé místnosti
149	Ruka drží kartičku s nápisem DÍKY! a nášivku
150	Žena cvičí na podložce, trenérka vede pohyb
151	Trenér vede muže při cvičení s odporovou gumou ve studiu
152	Trenér koriguje pohyb ženy s činkou ve studiu
153	Tři lidé v autě
154	Dva lidé ve studiu nad záznamovým archem
155	Skupinová fotografie ve studiu
156	Srovnání držení těla muže z profilu před a po, na měřicí mřížce
157	Dvojice s kávou ve studiu
158	Skupina lidí se protahuje na podlaze v tělocvičně
159	Srovnání držení těla muže z profilu před a po, na měřicí mřížce
160	Dvě fotografie zad dítěte na měřicí mřížce
161	Notebook s přehrávaným videem, žena u stolu
162	Trenérka vede klientku při cvičení s odporovou gumou
163	Abstraktní zkřížené linie na šedém pozadí
164	Trojrozměrná postavička sedící na velkém červeném otazníku
165	Trenér měří postavení zad muže pomocí popruhů
166	Muž cvičí s tyčí ve studiu
167	Muž drží plank na podložce doma
168	Dva lidé cvičí sedy-lehy v tělocvičně
169	Žena jde po lávce u vody za svítání
170	Žena drží plank
171	Muž leží na zádech s odporovou gumou, trenér vysvětluje
172	Muž cvičí s tyčí, trenér vzadu sleduje pohyb
173	Trenér palpuje žebra muže ve stoji
174	Dvě stojící postavy s vyznačenou páteří
175	Schéma klenby bránice se šipkami směru pohybu
176	Dvě sedící postavy s vyznačenou páteří
177	Trup s vyznačenou bránicí
178	Váhy s plícemi na jedné a páteří na druhé misce
179	Stojící postava s vyznačenou páteří
180	Postava s vyznačenou sítí fascií po celém těle
181	Postava z profilu s vyznačenou fasciální linií
182	Čtyři fáze kroku: dopad paty, střední stoj, odraz palce a švih
183	Postava se šipkami přenosu síly z chodidla do protilehlého ramene
184	Muž se drží za bederní páteř, bolestivé místo je zvýrazněno
185	Postava s vyznačenou nervovou soustavou
